id,name,botanical_name,category,category_name,price_kes,rating,review_count,tag,herbs,target_symptoms_illnesses,rituals,description,benefits,ingredients,ritual_guide,in_stock,image
moringa-powder-organic,Pure Wildcrafted Moringa Leaf Powder,Moringa oleifera,daily-nutrition,Daily Herbal Nutrition,1450,4.9,148,High-Priority Launch,moringa; moringa oleifera; drumstick tree; green superfood; iron; chlorophyll,fatigue; low energy; anemia; weak immunity; malnutrition; inflammation; joint stiffness; cellular vitality,morning vitality tonic; smoothie ritual; daily grounding rite; breakfast elixir,"Sun-cured and stone-milled from ethical wild Kenyan moringa groves. Packed with 92 nutrients, 46 antioxidants, and essential plant proteins to revitalize your cellular prana.","Natural sustained energy without caffeine crashes; Rich in plant-based iron, magnesium, and bioavailable calcium; Potent natural antioxidant supporting liver and cellular detoxification; Promotes radiant skin tone and healthy keratin synthesis",100% Certified Organic Sun-Dried Moringa Oleifera Leaf Powder,"Whisk 1 level teaspoon into warm water with raw honey and lemon at dawn, or blend into morning smoothies to anchor your mind and awaken your cells.",Yes,assets/images/moringa-baobab.jpg
baobab-fruit-powder,Sacred Baobab Fruit Superfood Powder,Adansonia digitata,daily-nutrition,Daily Herbal Nutrition,1600,4.8,92,Bestseller,baobab; adansonia digitata; tree of life; vitamin c; prebiotic fibre,sluggish digestion; constipation; dull skin; weak immune system; gut microbiome imbalance; inflammation,digestive awakening; post-workout hydration; sun drink ritual,Harvested directly from ancient wild African Baobab trees ('The Tree of Life'). Naturally dehydrates on the branch into a tangy citrus prebiotic powder containing 6x more Vitamin C than oranges.,"50% soluble and prebiotic dietary fibre to feed healthy gut bacteria; Elevated Vitamin C for collagen formation and luminous skin glow; Essential electrolytes (potassium, calcium, magnesium) for optimal cellular hydration; Low glycemic prebiotic supporting balanced blood sugar",100% Raw Wild-Harvested Kenyan Baobab Fruit Pulp Powder,"Stir 1 tablespoon into cold spring water, coconut water, or yogurt bowls. Sip slowly while visualizing root grounding.",Yes,assets/images/moringa-baobab.jpg
hibiscus-ruby-infusion,Wild Kenyan Ruby Hibiscus & Lemongrass Tea,Hibiscus sabdariffa & Cymbopogon citratus,daily-nutrition,Daily Herbal Nutrition,1250,4.9,114,Bestseller,hibiscus; lemongrass; cymbopogon; anthocyanins; karkadeh,high blood pressure; water retention; bloating; sluggish lymphatic system; oxidative stress; heart wellness,cooling afternoon tea ritual; sacred heart opening; hydrating sun tea,"Hand-picked tart ruby red hibiscus blossoms harmonized with vibrant fragrant Kenyan lemongrass stalks. A thirst-quenching, antioxidant-rich ceremonial tea that supports heart rhythm and graceful cooling.",Naturally supports healthy systolic and diastolic blood pressure balance; Gentle natural diuretic action relieving water weight and puffiness; Deep ruby anthocyanins that protect capillaries and cellular membranes; Naturally caffeine-free refreshing wellness beverage,Organic Dried Hibiscus Calyces; Ethically Wildcrafted East African Lemongrass Stalks,"Steep 1 heaped tablespoon in boiling water for 6-8 minutes. Strain, add raw honey and a slice of lime. Can also be steeped cold overnight in moonlight.",Yes,assets/images/hibiscus-tea.jpg
ginger-lemon-wellness-blend,Golden Ginger-Lemon Functional Wellness Tea,Zingiber officinale & Citrus limonum,daily-nutrition,Daily Herbal Nutrition,1300,4.7,78,Apothecary Pick,ginger; lemon peel; turmeric; zingiber; curcuma,cold; flu; sore throat; nausea; sluggish metabolism; poor circulation; morning chills,morning fire ignition; metabolic awaken rite; throat soothing steam,Sun-dried fiery ginger root intertwined with citrus lemon peel and raw turmeric slices. Activates digestive agni (internal metabolic fire) and dispels throat dampness.,Stimulates gastric motility and quickly quells stomach nausea; Warms extremities and boosts blood circulation throughout the body; Potent gingerols and shogaols alleviate respiratory congestion,Sun-Dried Kenyan Ginger Root; Dehydrated Lemon Peel; Golden Turmeric Rhizome,Simmer in boiling water for 10 minutes. Inhale the aromatic lemon-ginger steam to open nasal passages before drinking.,Yes,assets/images/hibiscus-tea.jpg
bedtime-dream-tea,Astral Bedtime & Deep Sleep Botanical Infusion,"Matricaria chamomilla, Valeriana & Passiflora",mind-sleep,"Mind, Stress & Sleep Wellness",1650,5,204,High-Priority Launch,chamomile; valerian root; passionflower; lavender; blue lotus; lemon balm,insomnia; racing thoughts; sleep anxiety; restlessness; nervous tension; night terrors; chronic fatigue,bedtime wind-down ritual; nighttime digital detox; moonlight meditation; dream recall practice,"An ethereal sedative tisane formulated with whole German chamomile flowers, potent valerian root, passionflower vine, and calming French lavender. Calms the central nervous system into delta-wave slumber.","Significantly reduces sleep latency (time to fall asleep) naturally; Promotes prolonged, restorative REM and deep sleep cycles; GABA-receptor modulating botanicals silence rumination and mental chatter; Wake up fully refreshed without grogginess or dependency",Egyptian Chamomile Flowers; Wild Valerian Root; Passionflower Herb; French Lavender Buds; Spearmint Leaves,Steep 1 tablespoon in freshly boiled spring water for 10 minutes covered. Sip in dim candlelight 45 minutes before sleep with your phone placed away.,Yes,assets/images/calming-bedtime.jpg
lavender-stress-relief-rollon,Serenity Stress-Relief Aromatherapy Roll-On,Lavandula angustifolia & Boswellia carterii,mind-sleep,"Mind, Stress & Sleep Wellness",1200,4.8,88,Bestseller,lavender; frankincense; bergamot; jojoba oil,panic attack; acute anxiety; tension headaches; stress tightness; sensory overload; work fatigue,midday calm reset; temple massage ritual; pre-meditation anointing,Pure steam-distilled French lavender essential oil and sacred frankincense infused into golden organic jojoba oil. Designed for immediate nervous system grounding on the go.,"Inhalation of linalool rapidly soothes the amygdala stress response; Frankincense helps deepen shallow, anxious breathing patterns; Non-greasy, travel-friendly roller for pulse point application",Pure Lavandula Angustifolia Essential Oil; Wild Somalian Frankincense Oil; Organic Golden Jojoba Carrier Oil,"Glide over wrists, temples, and neck nape. Cup your palms over your nose and take four deep 4-7-8 grounding breaths.",Yes,assets/images/calming-bedtime.jpg
sacred-relaxation-bath-soak,Lunar Herbal Mineral Relaxation Bath Soak,Salvia sclarea & Lavandula,mind-sleep,"Mind, Stress & Sleep Wellness",1850,4.9,65,Sacred Craft,lavender; chamomile; epsom salt; himalayan salt; clary sage,body tension; muscle knots; emotional burnout; mental fatigue; restless legs,full moon cleansing bath; evening restoration bath; energy cord cutting ritual,"Dead Sea magnesium flakes, pink Himalayan mineral salt, organic lavender blossoms, and clary sage. Melts away the heavy electromagnetic and emotional residue of the day.",Transdermal magnesium replenishes depleted mineral stores; Relieves stiff spinal and shoulder knots from sitting and stress; Prepares muscles and psyche for profound uninterrupted sleep,Dead Sea Magnesium Flakes; Pink Himalayan Crystal Salt; Dried Organic Lavender Flowers; Clary Sage Essential Oil,"Dissolve 1/2 cup into a warm running bath. Light a candle, immerse for 25 minutes, and visualize all tension dissolving into the water.",Yes,assets/images/ritual-ceremony.jpg
warming-muscle-recovery-balm,Botanist's Herbal Warming Muscle Balm,"Zingiber, Capsicum & Eucalyptus globulus",energy-muscle,"Energy, Fitness & Muscle",1550,4.9,132,High-Priority Launch,ginger; cayenne pepper; clove; eucalyptus; arnica montana; beeswax,muscle soreness; joint pain; stiff neck; lower back ache; arthritis discomfort; post-workout tightness; cramping,post-gym massage; morning stiffness relief; pre-stretch warming rub,"A potent thermal botanical salve combining organic Kenyan ginger, warming cayenne resin, arnica montana extract, and clove bud oil in unrefined yellow beeswax.","Generates deep penetrating, comforting warmth to relax tight myofascial tissue; Increases localized microcirculation to flush lactic acid from sore muscles; Arnica montana relieves bruising, strains, and joint aches naturally; Pleasant herbal aroma without harsh synthetic camphor smell",Unrefined Organic Beeswax; Arnica Montana Infused Sunflower Oil; Cayenne Extract; Kenyan Ginger Essential Oil; Clove Bud Oil; Eucalyptus Globulus Leaf Oil,"Scoop a nickel-sized amount with fingertips. Warm between palms and knead firmly into achy shoulders, lower back, or calves in circular motions.",Yes,assets/images/muscle-balm.jpg
sports-post-exercise-massage-oil,Athletic Recovery Botanical Massage Oil,Arnica montana & Mentha piperita,energy-muscle,"Energy, Fitness & Muscle",1750,4.8,64,Apothecary Pick,arnica; peppermint; rosemary; black pepper; sweet almond oil,delayed onset muscle soreness (DOMS); poor circulation; leg heaviness; athletic fatigue; sprains,post-run recovery ritual; partner sports massage; deep tissue release,"Lightweight, rapid-absorbing botanical massage oil infused with wild arnica, cooling peppermint, and circulatory black pepper to revitalize exhausted limbs after physical exertion.",Relieves the burning sensation and heaviness of fatigued muscles; Enhances lymphatic fluid return and speeds workout recovery; Silky glide perfect for deep tissue sports massage therapy,Sweet Almond Carrier Oil; Arnica Montana Herb Extract; Mentha Piperita Oil; Rosmarinus Officinalis Leaf Oil; Black Pepper Essential Oil,Apply liberally to damp skin after hot shower or bath. Stroke firmly upwards toward the heart to aid lymphatic venous return.,Yes,assets/images/muscle-balm.jpg
natural-energy-vitality-powder,Wild Adaptogen Plant Energy Powder,"Moringa, Baobab & Maca",energy-muscle,"Energy, Fitness & Muscle",1900,4.9,77,High-Priority Launch,moringa; baobab; maca root; spirulina; cacao,chronic fatigue; brain fog; sluggish morning; athletic burnout; low stamina,pre-workout botanical charge; morning sun ignition; creative focus booster,"A synergistic blend of wild Kenyan moringa, high-potency baobab, raw Peruvian maca root, and ceremonial criollo cacao to ignite clean, jitter-free vitality and athletic endurance.","Provides sustained cellular stamina without heart palpitations or adrenal exhaustion; Adaptogenic botanicals help physical body resist physical and mental stress; High natural bioavailable iron, potassium, and plant polyphenols",Organic Moringa Leaf Powder; Wild Baobab Fruit Powder; Gelatinized Maca Root; Raw Organic Cacao Powder,Blend 1 rounded scoop with almond milk or fresh coconut water 30 minutes before training or deep work sessions.,Yes,assets/images/moringa-baobab.jpg
